"","name","abrev","country","PubID","affiliation","year","country_study","Journal","Jour_country","Jour_continent"
"107","Moya, N","NABMOY","Bolivia",15,"Latin America",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
"108","Oberdorff, T","TOF","France",15,"Europe",2007,"Bolivia","Archiv fur Hydrobiologie","Germany","Europe"
"109","Chara, J","JULCHA","Colombia",16,"Latin America",2007,"Colombia","International Review of Hydrobiology","Germany","Europe"
"110","Baird, D","DBA","Canada",16,"North America",2007,"Colombia","International Review of Hydrobiology","Germany","Europe"
"111","Telfer, T","TTLF","Scotland",16,"Europe",2007,"Colombia","International Review of Hydrobiology","Germany","Europe"
"112","Giraldo, L","LPG","Colombia",16,"Latin America",2007,"Colombia","International Review of Hydrobiology","Germany","Europe"
"113","Melo, RCN","RCNM","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"114","Rosa, PG","PGR","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"115","Noyma, NP","NPNY","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"116","Pereira, WF","WFP","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"117","Tavares, LER","LERT","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"118","Parreira, GG","GGPR","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"119","Chiarini-Garcia, H","HCG","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"120","Roland, F","FRL","Brazil",18,"Latin America",2007,"Brazil","Micron","United Kingdom","Europe"
"121","Stein, H","HSTE","Germany",4,"Europe",2008,"Costa Rica","Ecological Engineering","Netherlands","Europe"
"122","Springer, M","MSGE","Costa Rica",4,"Latin America",2008,"Costa Rica","Ecological Engineering","Netherlands","Europe"
"123","Kohlmann, B","BK","Costa Rica",4,"Latin America",2008,"Costa Rica","Ecological Engineering","Netherlands","Europe"
"124","Siqueira, T","TSQU","Brazil",5,"Latin America",2008,"Brazil","Austral Ecology","Australia","Oceania"
"125","Roque, FD","FORQ","Brazil",5,"Latin America",2008,"Brazil","Austral Ecology","Australia","Oceania"
"126","Trivinho-Strixino, S","STSX","Brazil",5,"Latin America",2008,"Brazil","Austral Ecology","Australia","Oceania"
"127","Ocon, CS","CARSOCON","Argentina",7,"Latin America",2008,"Argentina","Environmental Pollution","United Kingdom","Europe"
"128","Capitulo, AR","ARCA","Argentina",7,"Latin America",2008,"Argentina","Environmental Pollution","United Kingdom","Europe"
"129","Paggi, AC","ACP","Argentina",7,"Latin America",2008,"Argentina","Environmental Pollution","United Kingdom","Europe"
"130","Scheibler, EE","EESC","Argentina",18,"Latin America",2008,"Argentina","Aquatic Insects","United Kingdom","Europe"
"131","Debandi, GO","GOD","Argentina",18,"Latin America",2008,"Argentina","Aquatic Insects","United Kingdom","Europe"
"132","Sardina, P","PARD","Argentina",19,"Latin America",2008,"Argentina","Fundamental and Applied Limnology","Germany","Europe"
"133","Cataldo, DH","DHC","Argentina",19,"Latin America",2008,"Argentina","Fundamental and Applied Limnology","Germany","Europe"
"134","Boltovskoy, D","DBO","Argentina",19,"Latin America",2008,"Argentina","Fundamental and Applied Limnology","Germany","Europe"
"135","Sanseverino, AM","AMSV","Sweden",31,"Europe",2008,"Brazil","Revista Brasileira de Entomologia","Brazil","Latin America"
"136","Nessimian, JL","JORLNEM","Brazil",31,"Latin America",2008,"Brazil","Revista Brasileira de Entomologia","Brazil","Latin America"
"137","Siqueira, T","TSQU","Brazil",6,"Latin America",2009,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"138","Bini, LM","LMBI","Brazil",6,"Latin America",2009,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"139","Cianciaruso, MV","MVC","Brazil",6,"Latin America",2009,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"140","Roque, FO","FORQ","Brazil",6,"Latin America",2009,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"141","Trivinho-Strixino, S","STSX","Brazil",6,"Latin America",2009,"Brazil","HYDROBIOLOGIA","Netherlands","Europe"
"142","de Carvalho, EM","EMCA","Brazil",8,"Latin America",2009,"Brazil","Zoologia","Brazil","Latin America"
"143","Uieda, VS","VSUI","Brazil",8,"Latin America",2009,"Brazil","Zoologia","Brazil","Latin America"
"144","Landeiro, VL","VLL","Brazil",19,"Latin America",2009,"Brazil","Neotropical Entomology","United States","North America"
"145","Pepinelli, M","MPL","Brazil",19,"Latin America",2009,"Brazil","Neotropical Entomology","United States","North America"
"146","Hamada, N","NH","Brazil",19,"Latin America",2009,"Brazil","Neotropical Entomology","United States","North America"
"147","Maltchik, L","LMK","Brazil",20,"Latin America",2009,"Brazil","Journal of the Kansas Entomological Society","United States","North America"
"148","Stenert, C","CTNT","Brazil",20,"Latin America",2009,"Brazil","Journal of the Kansas Entomological Society","United States","North America"
"149","Spies, MR","MSPI","Brazil",20,"Latin America",2009,"Brazil","Journal of the Kansas Entomological Society","United States","North America"
"150","Siegloch, AE","AESI","Brazil",20,"Latin America",2009,"Brazil","Journal of the Kansas Entomological Society","United States","North America"
"151","Jorcin, A","AJR","Brazil",27,"Latin America",2009,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"152","Nogueira, MG","MGNG","Brazil",27,"Latin America",2009,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"153","Belmont, R","RBE","Brazil",27,"Latin America",2009,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"154","Melo, AS","ASM","Brazil",28,"Latin America",2009,"Brazil","Zootaxa","New Zealand","Oceania"
"155","Wheeler, TA","TAWH","Canada",28,"North America",2009,"Brazil","Zootaxa","New Zealand","Oceania"
"156","Sweeney, BW","BWSW","USA",30,"North America",2009,"Peru, Costa Rica","Aquatic Insects","United Kingdom","Europe"
"157","Flowers, RW","RWILFLO","USA",30,"North America",2009,"Peru, Costa Rica","Aquatic Insects","United Kingdom","Europe"
"158","Funk, DH","DAVHFUN","USA",30,"North America",2009,"Peru, Costa Rica","Aquatic Insects","United Kingdom","Europe"
"159","Avila, S","SA","Costa Rica",30,"Latin America",2009,"Peru, Costa Rica","Aquatic Insects","United Kingdom","Europe"
"160","Jackson, JK","JKJ","USA",30,"North America",2009,"Peru, Costa Rica","Aquatic Insects","United Kingdom","Europe"
"161","Vasquez, D","DVZ","Costa Rica",31,"Latin America",2009,"Costa Rica","Aquatic Insects","United Kingdom","Europe"
"162","Flowers, RW","RWILFLO","USA",31,"North America",2009,"Costa Rica","Aquatic Insects","United Kingdom","Europe"
"163","Springer, M","MSGE","Costa Rica",31,"Latin America",2009,"Costa Rica","Aquatic Insects","United Kingdom","Europe"
"164","Lorion, CM","CML","USA",32,"North America",2009,"Costa Rica","FRESHWATER BIOLOGY","United Kingdom","Europe"
"165","Kennedy, BP","BPK","USA",32,"Latin America",2009,"Costa Rica","FRESHWATER BIOLOGY","United Kingdom","Europe"
"166","Rios Touma, B","BRT","Spain",34,"Europe",2009,"Ecuador","International Review of Hydrobiology","Germany","Europe"
"167","Encalada, AC","ACE","Ecuador",34,"Latin America",2009,"Ecuador","International Review of Hydrobiology","Germany","Europe"
"168","Prat Fornells, N","NARPRAF","Spain",34,"Europe",2009,"Ecuador","International Review of Hydrobiology","Germany","Europe"
"169","Colon-Gaud, C","CCG","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"170","Whiles, MR","MRWS","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"171","Kilham, SS","SSK","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"172","Lips, KR","KRL","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"173","Pringle, CM","CMP","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"174","Connelly, S","SCOCONN","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"175","Peterson, SD","SDPT","USA",35,"North America",2009,"Panama","Limnology and Oceanography","United States","North America"
"176","Colon-Gaud, C","CCG","Puerto Rico",3,"Latin America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
