"","abrev","country"
"603","LCA","Brazil"
"604","DJA","Ecuador"
"605","DJMS","Colombia"
"606","LCGM","Colombia"
"607","SCE","Brazil"
"608","BCGG","Brazil"
"609","HSSA","Brazil"
"610","CLPR","Brazil"
"611","JSFE","Brazil"
"612","RAN","Brazil"
"613","PHMA","Brazil"
"614","BFVR","Brazil"
"615","JSSV","Brazil"
"616","EFA","Brazil"
"617","CPS","Brazil"
"618","CFBF","Brazil"
"619","YPR","Colombia"
"620","BCR","Colombia"
"621","HAG","Colombia"
"622","BPC","Costa Rica"
"623","JMBO","Brazil"
"624","YSHI","Brazil"
"625","TGD","Sweden"
"626","PMJ","Brazil"
"627","VSR","Brazil"
"628","MVCC","Brazil"
"629","DRB","Brazil"
"630","LFF","Brazil"
"631","MANS","Brazil"
"632","MPN","Brazil"
"633","RLD","Brazil"
"634","LLWF","Brazil"
"635","LBC","Brazil"
"636","DSN","Brazil"
"637","LFAM","Brazil"
"638","MAL","Brazil"
"639","LJ","Brazil"
"640","APCB","Mexico"
"641","JCJ","Mexico"
"642","EJC","Brazil"
"643","FGC","Brazil"
"644","MCSF","Brazil"
"645","TOB","Brazil"
"646","ALA","Brazil"
"647","YS","Brazil"
"648","HL","Brazil"
"649","PSP","Brazil"
"650","RAL","Brazil"
"651","MOT","Brazil"
"652","SR","Brazil"
"653","EP","Brazil"
"654","GS","Sweden"
"655","TJM","Brazil"
"656","MTB","Brazil"
"657","YM","Brazil"
"658","NFS","Brazil"
"659","JLMO","Brazil"
"660","DB","Brazil"
"661","EEB","Mexico"
"662","PR","Czech Republic"
"663","TD","Brazil"
"664","DCOR","Brazil"
"665","RF","Brazil"
"666","AMFC","Colombia"
"667","CG","Colombia"
"668","PMG","Mexico"
"669","RNG","Mexico"
"670","GV","Mexico"
"671","AGL","Colombia"
"672","AMMS","Colombia"
"673","GG","Colombia"
"674","GRM","Brazil"
"675","JGL","Spain"
"676","EQH","France"
"677","JMR","Bolivia"
"678","KG","Bolivia"
"679","FR","France"
"680","JC","France"
"681","RARP","Mexico"
"682","TD","France"
"683","NM","Bolivia"
"684","JZ","Bolivia"
"685","TO","France"
"686","TG","Germany"
"687","DDW","Canada"
"688","SR","Germany"
"689","ACA","Ecuador"
"690","ASR","Ecuador"
"691","CIE","Ecuador"
"692","LB","Germany"
"693","LC","Brazil"
"694","PDM","Brazil"
"695","SPJ","Brazil"
"696","GPN","Brazil"
"697","MIRP","Colombia"
"698","MB","Colombia"
"699","NJMR","Colombia"
"700","RE","Ecuador"
"701","DJ","Ecuador"
"702","SMS","USA"
"703","TLC","USA"
"704","PET","USA"
"705","PK","USA"
"706","LJF","USA"
"707","JC","Argentina"
"708","AEI","Argentina"
"709","JSR","Argentina"
"710","SC","Argentina"
"711","MLZ","Argentina"
"712","HRG","Argentina"
"713","NKZ","Brazil"
"714","FVN","Brazil"
"715","JFSM","Israel"
"716","MP","Canada"
"717","CMS","USA"
"718","DROS","Brazil"
"719","RL","Brazil"
"720","JMN","Brazil"
"721","AHA","Peru"
"722","ALB","Brazil"
"723","MA","Brazil"
"724","GYS","Brazil"
"725","CP","Brazil"
"726","BSG","Brazil"
"727","JSF","Brazil"
"728","SL","Brazil"
"729","THT","Brazil"
"730","RMVC","Portugal"
"731","SJH","Portugal"
"732","SGV","Portugal"
"733","KDAS","Colombia"
"734","TPM","Brazil"
"735","SVBY","Colombia"
"736","FOB","Colombia"
